ORD,PERSIAN,SYNONYM,ENGEX,PEREX,TYP,BILD
att förstå sig på – förstår sig på,سر در آوردن/فهمیدن,"begripa, inse","1. Jag förstår mig på datorer.
2. Hon förstår sig på musik.
3. Vi förstår oss på regler.","1. من از کامپیوتر سر درمی‌آورم.
2. او موسیقی را می‌فهمد.
3. ما از قوانین سر درمی‌آوریم.",förstå sig på – förstå – förstår sig på – förstod sig på – förstått sig på – ska förstå sig på,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att börja – börjar,شروع کردن,"inleda, starta","1. Jag börjar skolan.
2. Hon börjar jobbet.
3. Vi börjar träningen.","1. من مدرسه را شروع می‌کنم.
2. او کار را شروع می‌کند.
3. ما تمرین را شروع می‌کنیم.",börja – börja – börjar – började – börjat – ska börja,https://images.unsplash.com/photo-1508387026-ebb54e9a24c5
att sluta – slutar,پایان دادن/متوقف شدن,"avsluta, upphöra","1. Jag slutar jobbet.
2. Hon slutar skolan.
3. Vi slutar träningen.","1. من کار را تمام می‌کنم.
2. او مدرسه را تمام می‌کند.
3. ما تمرین را تمام می‌کنیم.",sluta – sluta – slutar – slutade – slutat – ska sluta,https://images.unsplash.com/photo-1508387026-ebb54e9a24c5
att stanna – stannar,توقف کردن,"pausa, vila","1. Jag stannar hemma.
2. Hon stannar vid butiken.
3. Vi stannar länge.","1. من در خانه می‌مانم.
2. او کنار فروشگاه توقف می‌کند.
3. ما طولانی می‌مانیم.",stanna – stanna – stannar – stannade – stannat – ska stanna,https://images.unsplash.com/photo-1503602642458-232111445657
att flytta – flyttar,جابجا شدن,"förflytta, ändra plats","1. Jag flyttar till Stockholm.
2. Hon flyttar huset.
3. Vi flyttar möblerna.","1. من به استکهلم نقل مکان می‌کنم.
2. او خانه را جابجا می‌کند.
3. ما مبلمان را جابجا می‌کنیم.",flytta – flytta – flyttar – flyttade – flyttat – ska flytta,https://images.unsplash.com/photo-1508387026-ebb54e9a24c5
att byta – byter,عوض کردن,"ändra, ersätta","1. Jag byter kläder.
2. Hon byter jobb.
3. Vi byter plats.","1. من لباس‌ها را عوض می‌کنم.
2. او کار را عوض می‌کند.
3. ما جای خود را عوض می‌کنیم.",byta – byt – byter – bytte – bytt – ska byta,https://images.unsplash.com/photo-1588776814546-51b6d78c32a5
att ge – ger,دادن,"skänka, lämna","1. Jag ger dig en present.
2. Hon ger pengar.
3. Vi ger råd.","1. من به تو هدیه می‌دهم.
2. او پول می‌دهد.
3. ما نصیحت می‌کنیم.",ge – ge – ger – gav – gett – ska ge,https://images.unsplash.com/photo-1508387026-ebb54e9a24c5
att ta – tar,گرفتن,"hämta, plocka","1. Jag tar boken.
2. Hon tar bilen.
3. Vi tar tåget.","1. من کتاب را می‌گیرم.
2. او ماشین را می‌گیرد.
3. ما قطار را می‌گیریم.",ta – ta – tar – tog – tagit – ska ta,https://images.unsplash.com/photo-1508387026-ebb54e9a24c5
att sitta – sitter,نشستن,"sätta sig, vila","1. Jag sitter på stolen.
2. Hon sitter i parken.
3. Vi sitter tillsammans.","1. من روی صندلی می‌نشینم.
2. او در پارک می‌نشیند.
3. ما با هم می‌نشینیم.",sitta – sitt – sitter – satt – suttit – ska sitta,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att stå – står,ایستادن,"resa sig, befinna sig","1. Jag står vid dörren.
2. Hon står i kön.
3. Vi står länge.","1. من کنار در ایستاده‌ام.
2. او در صف ایستاده است.
3. ما طولانی می‌ایستیم.",stå – stå – står – stod – stått – ska stå,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att lägga – lägger,گذاشتن,"placera, sätta","1. Jag lägger boken på bordet.
2. Hon lägger nyckeln i lådan.
3. Vi lägger filten på sängen.","1. من کتاب را روی میز می‌گذارم.
2. او کلید را در جعبه می‌گذارد.
3. ما پتو را روی تخت می‌گذاریم.",lägga – lägg – lägger – lade – lagt – ska lägga,https://images.unsplash.com/photo-1505691938895-1758d7feb511
att ta på – tar på,پوشیدن/لمس کردن,"sätta på, applicera","1. Jag tar på mig jackan.
2. Hon tar på skorna.
3. Vi tar på hatten.","1. من ژاکتم را می‌پوشم.
2. او کفش‌ها را می‌پوشد.
3. ما کلاه را می‌پوشیم.",ta på – ta – tar på – tog på – tagit på – ska ta på,https://images.unsplash.com/photo-1508387026-ebb54e9a24c5
att ta av – tar av,درآوردن,"ta bort, avlägsna","1. Jag tar av mig skorna.
2. Hon tar av jackan.
3. Vi tar av hatten.","1. من کفش‌هایم را در می‌آورم.
2. او ژاکت را در می‌آورد.
3. ما کلاه را در می‌آوریم.",ta av – ta – tar av – tog av – tagit av – ska ta av,https://images.unsplash.com/photo-1508387026-ebb54e9a24c5
att leka – leker,بازی کردن,"spela, roa sig","1. Jag leker med barnen.
2. Hon leker i parken.
3. Vi leker tillsammans.","1. من با بچه‌ها بازی می‌کنم.
2. او در پارک بازی می‌کند.
3. ما با هم بازی می‌کنیم.",leka – lek – leker – lekte – lekt – ska leka,https://images.unsplash.com/photo-1517842645767-c639042777db
att ringa upp – ringer upp,تماس گرفتن,"kontakta, telefonera","1. Jag ringer upp dig senare.
2. Hon ringer upp sin vän.
3. Vi ringer upp kunden.","1. من بعداً با تو تماس می‌گیرم.
2. او با دوستش تماس می‌گیرد.
3. ما با مشتری تماس می‌گیریم.",ringa upp – ringa – ringer upp – ringde upp – ringt upp – ska ringa upp,https://images.unsplash.com/photo-1517842645767-c639042777db
att svara på – svarar på,جواب دادن به,"bemöta, replikera","1. Jag svarar på frågan.
2. Hon svarar på mejlet.
3. Vi svarar på samtalet.","1. من به سؤال جواب می‌دهم.
2. او به ایمیل جواب می‌دهد.
3. ما به تماس جواب می‌دهیم.",svara på – svara – svarar på – svarade på – svarat på – ska svara på,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att skriva under – skriver under,امضا کردن,"signera, godkänna","1. Jag skriver under avtalet.
2. Hon skriver under kontraktet.
3. Vi skriver under dokumentet.","1. من قرارداد را امضا می‌کنم.
2. او قرارداد را امضا می‌کند.
3. ما سند را امضا می‌کنیم.",skriva under – skriv – skriver under – skrev under – skrivit under – ska skriva under,https://images.unsplash.com/photo-1517245386807-bb43f82c33c4
att slå – slår,زدن,"banka, träffa","1. Jag slår på trumman.
2. Hon slår bollen.
3. Vi slår på dörren.","1. من طبل می‌زنم.
2. او توپ را می‌زند.
3. ما روی در می‌زنیم.",slå – slå – slår – slog – slagit – ska slå,https://images.unsplash.com/photo-1517842645767-c639042777db
att ta med – tar med,آوردن همراه,"föra med, ha med","1. Jag tar med boken.
2. Hon tar med mat.
3. Vi tar med barnen.","1. من کتاب را می‌آورم.
2. او غذا می‌آورد.
3. ما بچه‌ها را می‌آوریم.",ta med – ta – tar med – tog med – tagit med – ska ta med,https://images.unsplash.com/photo-1508387026-ebb54e9a24c5
att lämna tillbaka – lämnar tillbaka,پس دادن,"ge tillbaka, återlämna","1. Jag lämnar tillbaka boken.
2. Hon lämnar tillbaka nyckeln.
3. Vi lämnar tillbaka filmen.","1. من کتاب را پس می‌دهم.
2. او کلید را پس می‌دهد.
3. ما فیلم را پس می‌دهیم.",lämna tillbaka – lämna – lämnar tillbaka – lämnade tillbaka – lämnat tillbaka – ska lämna tillbaka,https://images.unsplash.com/photo-1503602642458-232111445657
att öppna upp – öppnar upp,باز کردن (مثلاً فرصت/فروشگاه),"slå upp, starta","1. Jag öppnar upp affären.
2. Hon öppnar upp sig.
3. Vi öppnar upp dörren.","1. من فروشگاه را باز می‌کنم.
2. او خود را باز می‌کند.
3. ما در را باز می‌کنیم.",öppna upp – öppna – öppnar upp – öppnade upp – öppnat upp – ska öppna upp,https://images.unsplash.com/photo-1505691938895-1758d7feb511
att stänga av – stänger av,خاموش کردن,"slå av, avsluta","1. Jag stänger av datorn.
2. Hon stänger av TV:n.
3. Vi stänger av lampan.","1. من کامپیوتر را خاموش می‌کنم.
2. او تلویزیون را خاموش می‌کند.
3. ما چراغ را خاموش می‌کنیم.",stänga av – stäng – stänger av – stängde av – stängt av – ska stänga av,https://images.unsplash.com/photo-1505691938895-1758d7feb511
att titta på – tittar på,نگاه کردن به,"se på, betrakta","1. Jag tittar på filmen.
2. Hon tittar på TV.
3. Vi tittar på tavlan.","1. من به فیلم نگاه می‌کنم.
2. او به تلویزیون نگاه می‌کند.
3. ما به تابلو نگاه می‌کنیم.",titta på – titta – tittar på – tittade på – tittat på – ska titta på,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att lyssna på – lyssnar på,گوش دادن به,"höra, uppmärksamma","1. Jag lyssnar på musik.
2. Hon lyssnar på läraren.
3. Vi lyssnar på radion.","1. من به موسیقی گوش می‌کنم.
2. او به معلم گوش می‌دهد.
3. ما به رادیو گوش می‌کنیم.",lyssna på – lyssna – lyssnar på – lyssnade på – lyssnat på – ska lyssna på,https://images.unsplash.com/photo-1508387026-ebb54e9a24c5
att ringa tillbaka – ringer tillbaka,برگشت تماس دادن,"återuppringa, kontakta igen","1. Jag ringer tillbaka senare.
2. Hon ringer tillbaka sin vän.
3. Vi ringer tillbaka kunden.","1. من بعداً تماس می‌گیرم.
2. او با دوستش تماس می‌گیرد.
3. ما با مشتری تماس می‌گیریم.",ringa tillbaka – ringa – ringer tillbaka – ringde tillbaka – ringt tillbaka – ska ringa tillbaka,https://images.unsplash.com/photo-1517842645767-c639042777db
att prova – provar,امتحان کردن,"testa, pröva","1. Jag provar kläder.
2. Hon provar skor.
3. Vi provar maten.","1. من لباس‌ها را امتحان می‌کنم.
2. او کفش‌ها را امتحان می‌کند.
3. ما غذا را امتحان می‌کنیم.",prova – prova – provar – provade – provat – ska prova,https://images.unsplash.com/photo-1508387026-ebb54e9a24c5
att planera – planerar,برنامه‌ریزی کردن,"organisera, arrangera","1. Jag planerar resan.
2. Hon planerar festen.
3. Vi planerar veckan.","1. من سفر را برنامه‌ریزی می‌کنم.
2. او مهمانی را برنامه‌ریزی می‌کند.
3. ما هفته را برنامه‌ریزی می‌کنیم.",planera – planera – planerar – planerade – planerat – ska planera,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att förbereda – förbereder,آماده کردن,"göra redo, arrangera","1. Jag förbereder maten.
2. Hon förbereder presentationen.
3. Vi förbereder rummet.","1. من غذا را آماده می‌کنم.
2. او ارائه را آماده می‌کند.
3. ما اتاق را آماده می‌کنیم.",förbereda – förbered – förbereder – förberedde – förberett – ska förbereda,https://images.unsplash.com/photo-1508387026-ebb54e9a24c5
att organisera – organiserar,سازماندهی کردن,"arrangera, strukturera","1. Jag organiserar mötet.
2. Hon organiserar rummet.
3. Vi organiserar festen.","1. من جلسه را سازماندهی می‌کنم.
2. او اتاق را سازماندهی می‌کند.
3. ما مهمانی را سازماندهی می‌کنیم.",organisera – organisera – organiserar – organiserade – organiserat – ska organisera,https://images.unsplash.com/photo-1508387026-ebb54e9a24c5
att rensa – rensar,پاک کردن/مرتب کردن,"städa, tömma","1. Jag rensar garderoben.
2. Hon rensar skrivbordet.
3. Vi rensar trädgården.","1. من کمد را مرتب می‌کنم.
2. او میز را مرتب می‌کند.
3. ما باغ را مرتب می‌کنیم.",rensa – rensa – rensar – rensade – rensat – ska rensa,https://images.unsplash.com/photo-1508387026-ebb54e9a24c5
att städa – städar,تمیز کردن,"göra rent, rengöra","1. Jag städar rummet.
2. Hon städar köket.
3. Vi städar huset.","1. من اتاق را تمیز می‌کنم.
2. او آشپزخانه را تمیز می‌کند.
3. ما خانه را تمیز می‌کنیم.",städa – städa – städar – städade – städat – ska städa,https://images.unsplash.com/photo-1508387026-ebb54e9a24c5
att tvätta – tvättar,شستن,"rengöra, skölja","1. Jag tvättar kläder.
2. Hon tvättar bilen.
3. Vi tvättar händerna.","1. من لباس‌ها را می‌شویم.
2. او ماشین را می‌شوید.
3. ما دست‌هایمان را می‌شوییم.",tvätta – tvätta – tvättar – tvättade – tvättat – ska tvätta,https://images.unsplash.com/photo-1508387026-ebb54e9a24c5
att läsa – läser,خواندن,"studera, granska","1. Jag läser en bok.
2. Hon läser tidningen.
3. Vi läser artiklar.","1. من یک کتاب می‌خوانم.
2. او روزنامه می‌خواند.
3. ما مقالات می‌خوانیم.",läsa – läs – läser – läste – läst – ska läsa,https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5
att skriva – skriver,نوشتن,"författa, anteckna","1. Jag skriver ett brev.
2. Hon skriver en dagbok.
3. Vi skriver mejl.","1. من یک نامه می‌نویسم.
2. او یک دفترچه روزانه می‌نویسد.
3. ما ایمیل می‌نویسیم.",skriva – skriv – skriver – skrev – skrivit – ska skriva,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att rita – ritar,نقاشی کردن,"teckna, måla","1. Jag ritar en bild.
2. Hon ritar huset.
3. Vi ritar tillsammans.","1. من یک تصویر نقاشی می‌کنم.
2. او خانه را نقاشی می‌کند.
3. ما با هم نقاشی می‌کنیم.",rita – rita – ritar – ritade – ritat – ska rita,https://images.unsplash.com/photo-1517842645767-c639042777db
att måla – målar,رنگ کردن/نقاشی کردن,"rita, dekorera","1. Jag målar väggen.
2. Hon målar porträtt.
3. Vi målar huset.","1. من دیوار را رنگ می‌کنم.
2. او پرتره می‌کشد.
3. ما خانه را رنگ می‌کنیم.",måla – måla – målar – målade – målat – ska måla,https://images.unsplash.com/photo-1517842645767-c639042777db
att laga mat – lagar mat,آشپزی کردن,"tillaga, koka","1. Jag lagar mat hemma.
2. Hon lagar middag.
3. Vi lagar frukost.","1. من در خانه آشپزی می‌کنم.
2. او شام می‌پزد.
3. ما صبحانه می‌پزیم.",laga mat – laga – lagar mat – lagade mat – lagat mat – ska laga mat,https://images.unsplash.com/photo-1504674900247-0877df9cc836
att baka – bakar,پختن (مثل کیک),"laga, tillaga","1. Jag bakar bröd.
2. Hon bakar kakor.
3. Vi bakar pizza.","1. من نان می‌پزم.
2. او کیک می‌پزد.
3. ما پیتزا می‌پزیم.",baka – baka – bakar – bakade – bakat – ska baka,https://images.unsplash.com/photo-1504674900247-0877df9cc836
att diska – diskar,ظرف شستن,"tvätta, rengöra","1. Jag diskar tallrikar.
2. Hon diskar glas.
3. Vi diskar kastruller.","1. من ظرف‌ها را می‌شویم.
2. او لیوان‌ها را می‌شوید.
3. ما قابلمه‌ها را می‌شوییم.",diska – diska – diskar – diskade – diskat – ska diska,https://images.unsplash.com/photo-1508387026-ebb54e9a24c5
att tvätta sig – tvättar sig,شستن خود,"rengöra sig, duscha","1. Jag tvättar mig på morgonen.
2. Hon tvättar sig efter träning.
3. Vi tvättar oss innan middagen.","1. من صبح‌ها خودم را می‌شویم.
2. او بعد از ورزش خود را می‌شوید.
3. ما قبل از شام خود را می‌شوییم.",tvätta sig – tvätta – tvättar sig – tvättade sig – tvättat sig – ska tvätta sig,https://images.unsplash.com/photo-1508387026-ebb54e9a24c5
att duscha – duschar,دوش گرفتن,"tvätta sig, spola","1. Jag duschar varje morgon.
2. Hon duschar snabbt.
3. Vi duschar efter träning.","1. من هر صبح دوش می‌گیرم.
2. او سریع دوش می‌گیرد.
3. ما بعد از ورزش دوش می‌گیریم.",duscha – duscha – duschar – duschade – duschat – ska duscha,https://images.unsplash.com/photo-1508387026-ebb54e9a24c5
att klä på sig – klär på sig,لباس پوشیدن,"ta på sig, sätta på sig","1. Jag klär på mig snabbt.
2. Hon klär på sig barnen.
3. Vi klär på oss varmt.","1. من سریع لباس می‌پوشم.
2. او بچه‌ها را لباس می‌پوشاند.
3. ما لباس گرم می‌پوشیم.",klä på sig – klä – klär på sig – klädde på sig – klätt på sig – ska klä på sig,https://images.unsplash.com/photo-1508387026-ebb54e9a24c5
att klä av sig – klär av sig,لباس درآوردن,"ta av sig, avlägsna","1. Jag klär av mig tröjan.
2. Hon klär av sig skorna.
3. Vi klär av oss jackan.","1. من پیراهنم را در می‌آورم.
2. او کفش‌ها را در می‌آورد.
3. ما ژاکت را در می‌آوریم.",klä av sig – klä – klär av sig – klädde av sig – klätt av sig – ska klä av sig,https://images.unsplash.com/photo-1508387026-ebb54e9a24c5
att promenera – promenerar,قدم زدن,"gå, spatsera","1. Jag promenerar i parken.
2. Hon promenerar med hunden.
3. Vi promenerar längs stranden.","1. من در پارک قدم می‌زنم.
2. او با سگ قدم می‌زند.
3. ما کنار ساحل قدم می‌زنیم.",promenera – promenera – promenerar – promenerade – promenerat – ska promenera,https://images.unsplash.com/photo-1503602642458-232111445657
att jogga – joggar,آهسته دویدن,"springa, löpa","1. Jag joggar varje morgon.
2. Hon joggar i skogen.
3. Vi joggar tillsammans.","1. من هر صبح آهسته می‌دوم.
2. او در جنگل آهسته می‌دود.
3. ما با هم آهسته می‌دویم.",jogga – jogga – joggar – joggade – joggat – ska jogga,https://images.unsplash.com/photo-1503602642458-232111445657
att springa – springer,دویدن,"löpa, rusa","1. Jag springer till bussen.
2. Hon springer varje dag.
3. Vi springer i parken.","1. من تا اتوبوس می‌دوم.
2. او هر روز می‌دود.
3. ما در پارک می‌دویم.",springa – spring – springer – sprang – sprungit – ska springa,https://images.unsplash.com/photo-1503602642458-232111445657
att cykla – cyklar,دوچرخه سواری کردن,"åka cykel, trampa","1. Jag cyklar till jobbet.
2. Hon cyklar i stan.
3. Vi cyklar tillsammans.","1. من با دوچرخه به سر کار می‌روم.
2. او در شهر دوچرخه‌سواری می‌کند.
3. ما با هم دوچرخه‌سواری می‌کنیم.",cykla – cykla – cyklar – cyklade – cyklat – ska cykla,https://images.unsplash.com/photo-1503602642458-232111445657
att åka bil – åker bil,با ماشین رفتن,"köra bil, resa med bil","1. Jag åker bil till skolan.
2. Hon åker bil till jobbet.
3. Vi åker bil tillsammans.","1. من با ماشین به مدرسه می‌روم.
2. او با ماشین به سر کار می‌رود.
3. ما با هم با ماشین می‌رویم.",åka bil – åka – åker bil – åkte bil – åkt bil – ska åka bil,https://images.unsplash.com/photo-1503602642458-232111445657
att åka buss – åker buss,با اتوبوس رفتن,"resa med buss, ta bussen","1. Jag åker buss varje dag.
2. Hon åker buss till stan.
3. Vi åker buss tillsammans.","1. من هر روز با اتوبوس می‌روم.
2. او با اتوبوس به شهر می‌رود.
3. ما با هم با اتوبوس می‌رویم.",åka buss – åka – åker buss – åkte buss – åkt buss – ska åka buss,https://images.unsplash.com/photo-1503602642458-232111445657
att åka tåg – åker tåg,با قطار رفتن,"resa med tåg, ta tåget","1. Jag åker tåg till Göteborg.
2. Hon åker tåg varje vecka.
3. Vi åker tåg tillsammans.","1. من با قطار به گوتنبرگ می‌روم.
2. او هر هفته با قطار می‌رود.
3. ما با هم با قطار می‌رویم.",åka tåg – åka – åker tåg – åkte tåg – åkt tåg – ska åka tåg,https://images.unsplash.com/photo-1503602642458-232111445657
att åka flyg – åker flyg,با هواپیما رفتن,"resa med flyg, ta flyget","1. Jag åker flyg till Stockholm.
2. Hon åker flyg varje sommar.
3. Vi åker flyg tillsammans.","1. من با هواپیما به استکهلم می‌روم.
2. او هر تابستان با هواپیما می‌رود.
3. ما با هم با هواپیما می‌رویم.",åka flyg – åka – åker flyg – åkte flyg – åkt flyg – ska åka flyg,https://images.unsplash.com/photo-1503602642458-232111445657
att resa – reser,سفر کردن,"åka, bege sig","1. Jag reser till Italien.
2. Hon reser ofta.
3. Vi reser tillsammans.","1. من به ایتالیا سفر می‌کنم.
2. او اغلب سفر می‌کند.
3. ما با هم سفر می‌کنیم.",resa – res – reser – reste – rest – ska resa,https://images.unsplash.com/photo-1508387026-ebb54e9a24c5
att shoppa – shoppar,خرید کردن,"handla, köpa","1. Jag shoppar kläder.
2. Hon shoppar i stan.
3. Vi shoppar tillsammans.","1. من لباس می‌خرم.
2. او در شهر خرید می‌کند.
3. ما با هم خرید می‌کنیم.",shoppa – shoppa – shoppar – shoppade – shoppat – ska shoppa,https://images.unsplash.com/photo-1504674900247-0877df9cc836
att köpa – köper,خریدن,"handla, införskaffa","1. Jag köper en bok.
2. Hon köper mat.
3. Vi köper biljetter.","1. من یک کتاب می‌خرم.
2. او غذا می‌خرد.
3. ما بلیت می‌خریم.",köpa – köp – köper – köpte – köpt – ska köpa,https://images.unsplash.com/photo-1504674900247-0877df9cc836
att sälja – säljer,فروختن,"avyttra, handla","1. Jag säljer min cykel.
2. Hon säljer kläder.
3. Vi säljer huset.","1. من دوچرخه‌ام را می‌فروشم.
2. او لباس می‌فروشد.
3. ما خانه را می‌فروشیم.",sälja – sälj – säljer – sålde – sålt – ska sälja,https://images.unsplash.com/photo-1504674900247-0877df9cc836
att betala – betalar,پرداخت کردن,"erlägga, lämna pengar","1. Jag betalar räkningen.
2. Hon betalar för maten.
3. Vi betalar tillsammans.","1. من قبض را پرداخت می‌کنم.
2. او برای غذا پرداخت می‌کند.
3. ما با هم پرداخت می‌کنیم.",betala – betala – betalar – betalade – betalat – ska betala,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att låna – lånar,قرض گرفتن,"hyra, ta","1. Jag lånar en bok.
2. Hon lånar pengar.
3. Vi lånar en cykel.","1. من یک کتاب قرض می‌گیرم.
2. او پول قرض می‌گیرد.
3. ما یک دوچرخه قرض می‌گیریم.",låna – låna – lånar – lånade – lånat – ska låna,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att hyra – hyr,اجاره کردن,"leasa, låna","1. Jag hyr en lägenhet.
2. Hon hyr en bil.
3. Vi hyr stugan.","1. من یک آپارتمان اجاره می‌کنم.
2. او ماشین اجاره می‌کند.
3. ما کلبه را اجاره می‌کنیم.",hyra – hyr – hyr – hyrde – hyrt – ska hyra,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att boka – bokar,رزرو کردن,"reservera, beställa","1. Jag bokar hotell.
2. Hon bokar biljetter.
3. Vi bokar bord.","1. من هتل رزرو می‌کنم.
2. او بلیت رزرو می‌کند.
3. ما میز رزرو می‌کنیم.",boka – boka – bokar – bokade – bokat – ska boka,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att stanna – stannar,ماندن,"vila, uppehålla sig","1. Jag stannar hemma.
2. Hon stannar på jobbet.
3. Vi stannar länge.","1. من در خانه می‌مانم.
2. او سر کار می‌ماند.
3. ما طولانی می‌مانیم.",stanna – stanna – stannar – stannade – stannat – ska stanna,https://images.unsplash.com/photo-1508387026-ebb54e9a24c5
att gå ut – går ut,بیرون رفتن,"lämna huset, promenera","1. Jag går ut med hunden.
2. Hon går ut på stan.
3. Vi går ut tillsammans.","1. من با سگ بیرون می‌روم.
2. او به شهر می‌رود.
3. ما با هم بیرون می‌رویم.",gå ut – gå – går ut – gick ut – gått ut – ska gå ut,https://images.unsplash.com/photo-1503602642458-232111445657
att gå in – går in,وارد شدن,"stiga in, komma in","1. Jag går in i huset.
2. Hon går in på kontoret.
3. Vi går in tillsammans.","1. من وارد خانه می‌شوم.
2. او وارد دفتر می‌شود.
3. ما با هم وارد می‌شویم.",gå in – gå – går in – gick in – gått in – ska gå in,https://images.unsplash.com/photo-1503602642458-232111445657
att besöka – besöker,دیدن، ملاقات کردن,"hälsa på, träffa","1. Jag besöker min vän.
2. Hon besöker museet.
3. Vi besöker familjen.","1. من دوست خود را ملاقات می‌کنم.
2. او از موزه دیدن می‌کند.
3. ما خانواده را ملاقات می‌کنیم.",besöka – besök – besöker – besökte – besökt – ska besöka,https://images.unsplash.com/photo-1508387026-ebb54e9a24c5
att ringa – ringer,زنگ زدن,"kontakta, telefonera","1. Jag ringer dig.
2. Hon ringer sin mamma.
3. Vi ringer tillsammans.","1. من به تو زنگ می‌زنم.
2. او به مادرش زنگ می‌زند.
3. ما با هم زنگ می‌زنیم.",ringa – ring – ringer – ringde – ringt – ska ringa,https://images.unsplash.com/photo-1517842645767-c639042777db
att tanka – tankar,سوخت زدن,"fylla på bensin, ladda","1. Jag tankar bilen.
2. Hon tankar på stationen.
3. Vi tankar tillsammans.","1. من ماشین را سوخت می‌زنم.
2. او در پمپ بنزین سوخت می‌زند.
3. ما با هم سوخت می‌زنیم.",tanka – tanka – tankar – tankade – tankat – ska tanka,https://images.unsplash.com/photo-1503602642458-232111445657
att laga – lagar,تعمیر کردن,"fixa, reparera","1. Jag lagar bilen.
2. Hon lagar datorn.
3. Vi lagar huset.","1. من ماشین را تعمیر می‌کنم.
2. او کامپیوتر را تعمیر می‌کند.
3. ما خانه را تعمیر می‌کنیم.",laga – laga – lagar – lagade – lagat – ska laga,https://images.unsplash.com/photo-1504674900247-0877df9cc836
att bygga – bygger,ساختن,"konstruera, skapa","1. Jag bygger ett hus.
2. Hon bygger en stol.
3. Vi bygger tillsammans.","1. من یک خانه می‌سازم.
2. او یک صندلی می‌سازد.
3. ما با هم می‌سازیم.",bygga – bygg – bygger – byggde – byggt – ska bygga,https://images.unsplash.com/photo-1504674900247-0877df9cc836
att riva – river,خراب کردن/تخریب کردن,"demolera, ta bort","1. Jag river väggen.
2. Hon river huset.
3. Vi river stugan.","1. من دیوار را خراب می‌کنم.
2. او خانه را خراب می‌کند.
3. ما کلبه را خراب می‌کنیم.",riva – riv – river – rev – rivit – ska riva,https://images.unsplash.com/photo-1504674900247-0877df9cc836
att reparera – reparerar,تعمیر کردن,"laga, fixa","1. Jag reparerar cykeln.
2. Hon reparerar datorn.
3. Vi reparerar maskinen.","1. من دوچرخه را تعمیر می‌کنم.
2. او کامپیوتر را تعمیر می‌کند.
3. ما دستگاه را تعمیر می‌کنیم.",reparera – reparera – reparerar – reparerade – reparerat – ska reparera,https://images.unsplash.com/photo-1504674900247-0877df9cc836
att må – mår,احساس داشتن,"känna, uppleva","1. Jag mår bra.
2. Hon mår dåligt.
3. Vi mår okej.","1. من احساس خوبی دارم.
2. او احساس بدی دارد.
3. ما حالمان خوب است.",må – må – mår – mådde – mått – ska må,https://images.unsplash.com/photo-1508387026-ebb54e9a24c5
att vila – vilar,استراحت کردن,"ta paus, slappna av","1. Jag vilar hemma.
2. Hon vilar på sängen.
3. Vi vilar efter jobbet.","1. من در خانه استراحت می‌کنم.
2. او روی تخت استراحت می‌کند.
3. ما بعد از کار استراحت می‌کنیم.",vila – vila – vilar – vilade – vilat – ska vila,https://images.unsplash.com/photo-1508387026-ebb54e9a24c5
att sova – sover,خوابیدن,"vila, slumra","1. Jag sover gott.
2. Hon sover länge.
3. Vi sover tidigt.","1. من خوب می‌خوابم.
2. او مدت طولانی می‌خوابد.
3. ما زود می‌خوابیم.",sova – sov – sover – sov – sovit – ska sova,https://images.unsplash.com/photo-1508387026-ebb54e9a24c5
att vakna – vaknar,بیدار شدن,"stiga upp, öppna ögonen","1. Jag vaknar tidigt.
2. Hon vaknar långsamt.
3. Vi vaknar tillsammans.","1. من زود بیدار می‌شوم.
2. او آرام بیدار می‌شود.
3. ما با هم بیدار می‌شویم.",vakna – vakna – vaknar – vaknade – vaknat – ska vakna,https://images.unsplash.com/photo-1508387026-ebb54e9a24c5
att klippa – klipper,کوتاه کردن/برش دادن,"trimma, skära","1. Jag klipper håret.
2. Hon klipper gräset.
3. Vi klipper papper.","1. من موها را کوتاه می‌کنم.
2. او چمن را کوتاه می‌کند.
3. ما کاغذ را می‌بریم.",klippa – klipp – klipper – klippte – klippt – ska klippa,https://images.unsplash.com/photo-1504674900247-0877df9cc836
att gråta – gråter,گریه کردن,"fälla tårar, snyfta","1. Jag gråter ibland.
2. Hon gråter av sorg.
3. Vi gråter tillsammans.","1. من گاهی گریه می‌کنم.
2. او از غم گریه می‌کند.
3. ما با هم گریه می‌کنیم.",gråta – gråt – gråter – grät – gråtit – ska gråta,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
